nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches,player,team_name
ro ROU,MF,18-320,6,0,133,1.5,1,0,1,1,0,0,0,0,0.68,0,0.68,0.68,0.68,Matches,Luca-Constantin Basceanu,Farul-Constanta
ro ROU,DF,23-063,4,0,59,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Gabriel Buta,Farul-Constanta
pt POR,DF,24-004,3,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Fabinho Baptista,Farul-Constanta
ua UKR,FW,20-214,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Daniel Kiwinda,Farul-Constanta
ro ROU,DF,19-312,0,0,,,,,,,,,,,,,,,,Matches,Mario Aioanei,Farul-Constanta
ro ROU,FW,21-250,0,0,,,,,,,,,,,,,,,,Matches,Luca Andronache,Farul-Constanta
ro ROU,FW,16-157,0,0,,,,,,,,,,,,,,,,Matches,Ianis Avramescu,Farul-Constanta
ro ROU,MF,14-206,0,0,,,,,,,,,,,,,,,,Matches,Patrick Budescu,Farul-Constanta
ro ROU,FW,18-240,0,0,,,,,,,,,,,,,,,,Matches,Alin Cocoș,Farul-Constanta
ro ROU,GK,24-052,0,0,,,,,,,,,,,,,,,,Matches,Răzvan Ducan,Farul-Constanta
ro ROU,DF,18-003,0,0,,,,,,,,,,,,,,,,Matches,David-John Dumitra,Farul-Constanta
ro ROU,DF,21-045,0,0,,,,,,,,,,,,,,,,Matches,Alexandru-Stefan Dutu,Farul-Constanta
ro ROU,DF,17-052,0,0,,,,,,,,,,,,,,,,Matches,Costyn Gheorghe,Farul-Constanta
ro ROU,DF,22-299,0,0,,,,,,,,,,,,,,,,Matches,Darius Grosu,Farul-Constanta
ro ROU,MF,25-169,0,0,,,,,,,,,,,,,,,,Matches,George Merloi,Farul-Constanta
ro ROU,DF,17-269,0,0,,,,,,,,,,,,,,,,Matches,Gabriel Munteanu,Farul-Constanta
ro ROU,FW,22-179,0,0,,,,,,,,,,,,,,,,Matches,Robert Mustacă,Farul-Constanta
ro ROU,MF,17-089,0,0,,,,,,,,,,,,,,,,Matches,Ianis Podoleanu,Farul-Constanta
gn GUI,DF,28-364,28,28,"2,520",28,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches,Ibrahima Conté,UTA-Arad
ke KEN,"MF,FW",30-227,28,28,"2,397",26.6,3,3,6,3,0,0,8,0,0.11,0.11,0.23,0.11,0.23,Matches,Eric Johanna Omondi,UTA-Arad
ro ROU,"FW,MF",26-243,31,27,"2,191",24.3,6,3,9,4,2,2,5,0,0.25,0.12,0.37,0.16,0.29,Matches,Valentin Costache,UTA-Arad
mq MTQ,DF,28-090,24,24,"2,160",24,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,Florent Poulolo,UTA-Arad
ro ROU,MF,20-191,25,22,"1,855",20.6,1,1,2,1,0,0,4,0,0.05,0.05,0.1,0.05,0.1,Matches,Cristian Mihai,UTA-Arad
ro ROU,"DF,MF",27-175,27,21,"1,831",20.3,0,1,1,0,0,0,3,0,0,0.05,0.05,0,0.05,Matches,Răzvan Trif,UTA-Arad
be BEL,MF,28-013,21,18,"1,587",17.6,1,1,2,1,0,0,3,0,0.06,0.06,0.11,0.06,0.11,Matches,Benjamin Van Durmen,UTA-Arad
sk SVK,"MF,FW",28-032,20,18,"1,446",16.1,1,3,4,1,0,0,2,0,0.06,0.19,0.25,0.06,0.25,Matches,Andrej Fábry,UTA-Arad
cg CGO,"DF,MF",30-100,19,16,"1,490",16.6,0,1,1,0,0,0,5,0,0,0.06,0.06,0,0.06,Matches,Ravy Tsouka,UTA-Arad
ro ROU,GK,22-028,16,16,"1,437",16,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Robert Popa,UTA-Arad
ro ROU,DF,35-076,21,15,"1,297",14.4,0,1,1,0,0,0,2,1,0,0.07,0.07,0,0.07,Matches,Cornel Râpă,UTA-Arad
ro ROU,MF,23-150,23,13,"1,243",13.8,1,0,1,1,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches,Denis Hrezdac,UTA-Arad
ci CIV,DF,26-161,16,12,"1,174",13,1,0,1,1,0,0,7,0,0.08,0,0.08,0.08,0.08,Matches,Aristide Mabea,UTA-Arad
mk MKD,GK,30-036,12,12,"1,080",12,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,Dejan Iliev,UTA-Arad
ro ROU,DF,35-291,11,10,908,10.1,1,0,1,1,0,0,0,0,0.1,0,0.1,0.1,0.1,Matches,Alexandru Benga,UTA-Arad
fr FRA,MF,25-270,17,10,811,9,0,1,1,0,0,0,3,0,0,0.11,0.11,0,0.11,Matches,Lamine Ghezali,UTA-Arad
ng NGA,FW,25-022,12,8,705,7.8,2,0,2,2,0,0,0,1,0.26,0,0.26,0.26,0.26,Matches,Jordan Kadiri,UTA-Arad
ro ROU,MF,24-176,13,7,583,6.5,2,0,2,2,0,0,1,0,0.31,0,0.31,0.31,0.31,Matches,George Cîmpanu,UTA-Arad
ro ROU,MF,22-343,9,7,469,5.2,0,1,1,0,0,0,1,0,0,0.19,0.19,0,0.19,Matches,Marian Danciu,UTA-Arad
pt POR,"MF,FW",31-364,17,6,626,7,2,0,2,0,2,2,1,0,0.29,0,0.29,0,0,Matches,João Pedro,UTA-Arad
ng NGA,FW,31-160,8,6,477,5.3,1,0,1,1,0,0,0,0,0.19,0,0.19,0.19,0.19,Matches,Imoh Ezekiel,UTA-Arad
fr FRA,DF,30-145,7,5,437,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Damien Dussaut,UTA-Arad
eng ENG,"FW,MF",27-263,6,5,392,4.4,1,1,2,1,0,0,0,0,0.23,0.23,0.46,0.23,0.46,Matches,Shayon Harrison,UTA-Arad
pt POR,DF,25-222,4,3,288,3.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Diogo Costa Rodrigues,UTA-Arad
ro ROU,GK,23-243,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Andrei Gorcea,UTA-Arad
cy CYP,"MF,FW",23-260,5,3,217,2.4,1,0,1,1,0,0,0,0,0.41,0,0.41,0.41,0.41,Matches,Marinos Tzionis,UTA-Arad
cd COD,MF,32-348,4,2,202,2.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Paul-Jose M'Poku,UTA-Arad
ro ROU,FW,25-357,5,2,170,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Ioan Dumiter,UTA-Arad
hu HUN,FW,24-170,17,1,367,4.1,1,1,2,1,0,0,4,0,0.25,0.25,0.49,0.25,0.49,Matches,Dániel Zsóri,UTA-Arad
ar ARG,FW,33-150,11,1,324,3.6,2,0,2,2,0,0,0,0,0.56,0,0.56,0.56,0.56,Matches,Agustín Vuletich,UTA-Arad
ro ROU,MF,22-210,17,1,314,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Raoul Cristea,UTA-Arad
ro ROU,GK,21-286,2,1,93,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Aleksander Mitrovic,UTA-Arad
sn SEN,MF,29-092,4,1,68,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Joher Rassoul,UTA-Arad
ng NGA,FW,25-149,2,0,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Nsungusi Jnr Effiong,UTA-Arad
il ISR,MF,24-237,4,0,53,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Loei Halaf,UTA-Arad
ro ROU,MF,22-066,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Andrei David,UTA-Arad
pt POR,FW,28-080,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Zé Pedro,UTA-Arad
ro ROU,FW,17-358,2,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Adrian Dragos,UTA-Arad
,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Alexandru Olar,UTA-Arad
ro ROU,FW,18-007,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Raul Stanciu,UTA-Arad
ro ROU,MF,22-270,0,0,,,,,,,,,,,,,,,,Matches,Ioan Borcea,UTA-Arad
,MF,,0,0,,,,,,,,,,,,,,,,Matches,Ahmet Ekmekci,UTA-Arad
ro ROU,DF,19-108,0,0,,,,,,,,,,,,,,,,Matches,Darius Iurasciuc,UTA-Arad
ro ROU,MF,17-067,0,0,,,,,,,,,,,,,,,,Matches,Alexandru Matei,UTA-Arad
ro ROU,GK,20-348,0,0,,,,,,,,,,,,,,,,Matches,Mario Popescu,UTA-Arad
ro ROU,GK,18-091,0,0,,,,,,,,,,,,,,,,Matches,Lucas Roșu,UTA-Arad
ro ROU,MF,16-361,0,0,,,,,,,,,,,,,,,,Matches,Denis Taroi,UTA-Arad
ro ROU,GK,20-127,0,0,,,,,,,,,,,,,,,,Matches,Patric Toderean,UTA-Arad
pt POR,FW,31-018,31,30,"2,302",25.6,5,5,10,5,0,0,0,0,0.2,0.2,0.39,0.2,0.39,Matches,Frédéric Maciel,Otelul-Galati
hr CRO,"MF,DF",33-010,29,28,"2,523",28,3,1,4,3,0,0,7,0,0.11,0.04,0.14,0.11,0.14,Matches,Diego Živulić,Otelul-Galati
rs SRB,DF,26-201,28,28,"2,395",26.6,0,0,0,0,0,0,6,3,0,0,0,0,0,Matches,Nikola Stevanović,Otelul-Galati
pt POR,MF,25-348,29,28,"2,374",26.4,0,0,0,0,0,0,8,0,0,0,0,0,0,Matches,João Lameira,Otelul-Galati
ro ROU,GK,31-213,25,25,"2,250",25,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,Iustin Popescu,Otelul-Galati
ci CIV,DF,27-319,21,20,"1,758",19.5,0,0,0,0,0,0,4,1,0,0,0,0,0,Matches,Jonathan Cissé,Otelul-Galati
ro ROU,DF,20-264,22,19,"1,533",17,0,1,1,0,0,0,1,0,0,0.06,0.06,0,0.06,Matches,David-Iulian Maftei,Otelul-Galati
pt POR,MF,28-033,29,18,"1,706",19,2,0,2,2,0,0,2,1,0.11,0,0.11,0.11,0.11,Matches,Teles,Otelul-Galati
pt POR,DF,29-103,20,17,"1,637",18.2,1,1,2,1,0,0,4,0,0.05,0.05,0.11,0.05,0.11,Matches,Miguel Silva,Otelul-Galati
it ITA,"MF,FW",31-332,17,17,"1,514",16.8,3,2,5,3,0,0,2,0,0.18,0.12,0.3,0.18,0.3,Matches,Juri Cisotti,Otelul-Galati
ro ROU,"FW,MF",21-339,28,16,"1,453",16.1,1,0,1,1,0,0,2,0,0.06,0,0.06,0.06,0.06,Matches,Razvan Tanasa,Otelul-Galati
ro ROU,FW,25-060,21,16,"1,381",15.3,5,0,5,3,2,2,1,0,0.33,0,0.33,0.2,0.2,Matches,Alexandru Pop,Otelul-Galati
ba BIH,FW,26-134,20,11,"1,155",12.8,3,0,3,3,0,0,1,0,0.23,0,0.23,0.23,0.23,Matches,Stipe Juric,Otelul-Galati
ch SUI,DF,31-070,12,11,996,11.1,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches,Martin Angha,Otelul-Galati
hr CRO,DF,31-029,9,9,698,7.8,0,1,1,0,0,0,1,0,0,0.13,0.13,0,0.13,Matches,Josip Tomašević,Otelul-Galati
ro ROU,DF,30-152,18,7,745,8.3,0,1,1,0,0,0,1,0,0,0.12,0.12,0,0.12,Matches,Mihai Adăscăliței,Otelul-Galati
bg BUL,DF,31-259,10,7,713,7.9,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,Milen Zhelev,Otelul-Galati
ro ROU,GK,27-046,7,7,630,7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Cosmin Dur-Bozoancă,Otelul-Galati
rs SRB,FW,26-258,16,7,618,6.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Vasilije Đurić,Otelul-Galati
ro ROU,MF,31-271,13,6,445,4.9,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,Neluț Roșu,Otelul-Galati
ro ROU,"MF,FW",22-223,9,6,429,4.8,1,0,1,1,0,0,0,0,0.21,0,0.21,0.21,0.21,Matches,Andrei Bani,Otelul-Galati
be BEL,MF,29-004,12,5,564,6.3,0,1,1,0,0,0,2,0,0,0.16,0.16,0,0.16,Matches,Samy Bourard,Otelul-Galati
ro ROU,DF,22-323,8,4,372,4.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Andrei Rus,Otelul-Galati
ro ROU,"FW,MF",22-310,8,3,313,3.5,0,1,1,0,0,0,0,0,0,0.29,0.29,0,0.29,Matches,Albert Hofman,Otelul-Galati
ro ROU,FW,24-010,5,2,201,2.2,1,0,1,1,0,0,2,0,0.45,0,0.45,0.45,0.45,Matches,Jovan Marković,Otelul-Galati
co COL,DF,28-132,3,2,136,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Julián Tovar,Otelul-Galati
ro ROU,FW,36-054,4,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Alexandru Stan,Otelul-Galati
ro ROU,FW,37-056,2,1,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Eric Bicfalvi,Otelul-Galati
ro ROU,MF,23-145,4,1,51,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Cristian Chira,Otelul-Galati
md MDA,MF,27-079,14,0,204,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Maxim Cojocaru,Otelul-Galati
ro ROU,FW,20-065,8,0,141,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Andreas Burcea,Otelul-Galati
ro ROU,FW,21-250,6,0,96,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Luca Andronache,Otelul-Galati
ec ECU,FW,26-022,1,0,36,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Stiven Plaza,Otelul-Galati
ro ROU,DF,22-050,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Ștefan Teodor Farcaș,Otelul-Galati
md MDA,DF,25-167,0,0,,,,,,,,,,,,,,,,Matches,Victor Bogaciuc,Otelul-Galati
ro ROU,DF,20-116,0,0,,,,,,,,,,,,,,,,Matches,Valerio Gallo,Otelul-Galati
ua UKR,GK,24-265,0,0,,,,,,,,,,,,,,,,Matches,Maksym Kovalov,Otelul-Galati
ro ROU,DF,21-142,0,0,,,,,,,,,,,,,,,,Matches,Constantin Mitulețu,Otelul-Galati
ro ROU,MF,35-158,0,0,,,,,,,,,,,,,,,,Matches,Ionuț Neagu,Otelul-Galati
si SVN,MF,27-029,0,0,,,,,,,,,,,,,,,,Matches,Jakob Novak,Otelul-Galati
bf BFA,DF,33-327,0,0,,,,,,,,,,,,,,,,Matches,François Yabré,Otelul-Galati
ro ROU,MF,31-064,32,31,"2,567",28.5,4,7,11,4,0,1,2,0,0.14,0.25,0.39,0.14,0.39,Matches,Alin Roman,Politehnica-Iasi
es ESP,GK,36-294,30,30,"2,700",30,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Jesús,Politehnica-Iasi
ro ROU,MF,33-134,28,28,"2,449",27.2,5,0,5,4,1,1,11,1,0.18,0,0.18,0.15,0.15,Matches,Mihai Bordeianu,Politehnica-Iasi
gt GUA,DF,29-242,28,28,"2,435",27.1,1,0,1,1,0,0,9,0,0.04,0,0.04,0.04,0.04,Matches,Nicolás Samayoa,Politehnica-Iasi
pt POR,DF,24-052,26,26,"2,236",24.8,3,2,5,3,0,0,3,1,0.12,0.08,0.2,0.12,0.2,Matches,Guilherme Araújo Soares,Politehnica-Iasi
ro ROU,DF,24-218,23,21,"1,880",20.9,0,2,2,0,0,0,7,0,0,0.1,0.1,0,0.1,Matches,Rareș Ispas,Politehnica-Iasi
cm CMR,MF,27-109,25,20,"1,685",18.7,1,0,1,1,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches,Samuel Oum Gouet,Politehnica-Iasi
ro ROU,"MF,FW",22-259,21,17,"1,434",15.9,3,3,6,3,0,0,5,1,0.19,0.19,0.38,0.19,0.38,Matches,Andrei Gheorghiță,Politehnica-Iasi
ro ROU,MF,23-040,27,15,"1,415",15.7,2,0,2,2,0,0,0,0,0.13,0,0.13,0.13,0.13,Matches,Stefan Stefanovici,Politehnica-Iasi
br BRA,"MF,FW",26-027,28,15,"1,404",15.6,3,0,3,3,0,0,3,0,0.19,0,0.19,0.19,0.19,Matches,Tailson,Politehnica-Iasi
ch SUI,FW,30-024,16,15,"1,292",14.4,2,1,3,2,0,0,1,1,0.14,0.07,0.21,0.14,0.21,Matches,Florian Kamberi,Politehnica-Iasi
ar ARG,MF,32-021,21,13,"1,108",12.3,2,0,2,2,0,0,1,0,0.16,0,0.16,0.16,0.16,Matches,Julián Marchioni,Politehnica-Iasi
mk MKD,DF,26-034,13,13,"1,041",11.6,0,1,1,0,0,0,2,0,0,0.09,0.09,0,0.09,Matches,Todor Todoroski,Politehnica-Iasi
ro ROU,"MF,FW",28-046,21,13,"1,024",11.4,0,1,1,0,0,0,2,0,0,0.09,0.09,0,0.09,Matches,Valentin Gheorghe,Politehnica-Iasi
mk MKD,DF,28-162,14,11,994,11,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,David Atanasovski,Politehnica-Iasi
de GER,DF,24-276,15,11,975,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Claudio Silva,Politehnica-Iasi
ro ROU,DF,32-287,12,9,794,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Florin Ilie,Politehnica-Iasi
gn GUI,FW,27-255,8,7,581,6.5,3,0,3,3,0,0,0,1,0.46,0,0.46,0.46,0.46,Matches,Sékou Camara,Politehnica-Iasi
gh GHA,DF,22-111,6,6,540,6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Umar Mohammed,Politehnica-Iasi
fr FRA,MF,28-270,6,5,313,3.5,0,2,2,0,0,0,1,0,0,0.58,0.58,0,0.58,Matches,Adama Diakhaby,Politehnica-Iasi
ro ROU,"DF,MF",30-151,10,4,575,6.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,Mihai Adăscăliței,Politehnica-Iasi
eng ENG,FW,27-262,14,4,427,4.7,0,1,1,0,0,0,1,0,0,0.21,0.21,0,0.21,Matches,Shayon Harrison,Politehnica-Iasi
de GER,MF,25-163,11,2,356,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Robert Miskovic,Politehnica-Iasi
al ALB,"MF,FW",26-242,6,2,275,3.1,1,0,1,0,1,1,1,0,0.33,0,0.33,0,0,Matches,Xhuliano Skuka,Politehnica-Iasi
pt POR,MF,25-128,9,2,235,2.6,2,0,2,2,0,0,0,0,0.77,0,0.77,0.77,0.77,Matches,Gonçalo Teixeira,Politehnica-Iasi
ro ROU,GK,24-061,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Ionut Ailenei,Politehnica-Iasi
ro ROU,MF,25-157,6,1,261,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Cătălin Mihai Itu,Politehnica-Iasi
ro ROU,MF,19-175,3,1,65,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Matei Tanasă,Politehnica-Iasi
dz ALG,FW,31-303,3,0,69,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Billel Omrani,Politehnica-Iasi
ro ROU,MF,21-172,2,0,38,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Luca Mihai,Politehnica-Iasi
ro ROU,DF,25-274,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Cătălin Creţ,Politehnica-Iasi
ro ROU,FW,18-019,2,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,David Popa,Politehnica-Iasi
br BRA,MF,27-254,4,0,27,0.3,0,1,1,0,0,0,0,0,0,3.33,3.33,0,3.33,Matches,Dudu Nardini,Politehnica-Iasi
ro ROU,MF,20-312,3,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Denis-Andrei Ciobanu,Politehnica-Iasi
ro ROU,MF,20-234,2,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Antonio Bordusanu,Politehnica-Iasi
si SVN,DF,31-034,0,0,,,,,,,,,,,,,,,,Matches,Matija Boben,Politehnica-Iasi
ro ROU,MF,16-349,0,0,,,,,,,,,,,,,,,,Matches,Vlad Ilie,Politehnica-Iasi
ro ROU,GK,27-229,0,0,,,,,,,,,,,,,,,,Matches,Toma Marinică Niga,Politehnica-Iasi
ro ROU,MF,28-192,0,0,,,,,,,,,,,,,,,,Matches,Romario Moise,Politehnica-Iasi
ro ROU,DF,30-309,28,26,"2,335",25.9,0,1,1,0,0,0,6,1,0,0.04,0.04,0,0.04,Matches,George Miron,Botosani
ao ANG,MF,27-007,31,26,"2,334",25.9,3,0,3,3,0,0,5,0,0.12,0,0.12,0.12,0.12,Matches,Aldaír Ferreira,Botosani
ng NGA,"DF,MF",22-130,23,22,"1,840",20.4,1,1,2,1,0,0,1,2,0.05,0.05,0.1,0.05,0.1,Matches,Adams Friday,Botosani
gr GRE,GK,34-024,21,21,"1,890",21,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,Giannis Anestis,Botosani
si SVN,DF,23-294,23,21,"1,889",21,1,1,2,1,0,0,2,0,0.05,0.05,0.1,0.05,0.1,Matches,Michael Pavlovič,Botosani
ro ROU,FW,26-206,27,21,"1,667",18.5,6,2,8,6,0,0,8,0,0.32,0.11,0.43,0.32,0.43,Matches,Marian Chică-Roșă,Botosani
fr FRA,"MF,FW",29-282,22,20,"1,624",18,1,2,3,1,0,0,4,0,0.06,0.11,0.17,0.06,0.17,Matches,Hervin Ongenda,Botosani
md MDA,"MF,FW",22-060,29,20,"1,551",17.2,2,4,6,2,0,0,4,0,0.12,0.23,0.35,0.12,0.35,Matches,Stefan Bodisteanu,Botosani
ar ARG,DF,31-085,23,19,"1,709",19,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches,Patricio Matricardi,Botosani
ba BIH,DF,25-074,21,18,"1,520",16.9,1,0,1,1,0,0,3,1,0.06,0,0.06,0.06,0.06,Matches,Rijad Sadiku,Botosani
ro ROU,MF,27-279,20,15,"1,300",14.4,1,1,2,0,1,1,2,0,0.07,0.07,0.14,0,0.07,Matches,Eduard Florescu,Botosani
ro ROU,"DF,MF",34-294,15,13,"1,166",13,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,Alexandru Țigănașu,Botosani
ar ARG,FW,27-023,24,10,"1,120",12.4,4,0,4,4,0,0,0,0,0.32,0,0.32,0.32,0.32,Matches,Enzo López,Botosani
ro ROU,MF,23-063,24,10,"1,036",11.5,6,2,8,6,0,0,6,0,0.52,0.17,0.69,0.52,0.69,Matches,Zoran Mitrov,Botosani
al ALB,MF,32-021,11,10,698,7.8,1,0,1,1,0,0,4,0,0.13,0,0.13,0.13,0.13,Matches,Enriko Papa,Botosani
gw GNB,MF,33-074,11,9,720,8,0,1,1,0,0,0,2,0,0,0.12,0.12,0,0.12,Matches,Francisco Júnior,Botosani
ro ROU,"MF,DF",22-050,15,9,715,7.9,0,1,1,0,0,0,2,0,0,0.13,0.13,0,0.13,Matches,David Gabriel,Botosani
ro ROU,MF,24-176,11,9,687,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,George Cîmpanu,Botosani
mw MWI,"MF,DF",24-053,16,8,798,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Charles Petro,Botosani
ro ROU,GK,30-275,7,7,630,7,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,Eduard Pap,Botosani
es ESP,"MF,DF",29-044,14,6,672,7.5,1,0,1,1,0,0,3,0,0.13,0,0.13,0.13,0.13,Matches,ALex Salomón,Botosani
ro ROU,DF,38-007,12,6,525,5.8,1,0,1,1,0,0,5,1,0.17,0,0.17,0.17,0.17,Matches,Alin Șeroni,Botosani
ro ROU,"FW,MF",27-252,15,5,504,5.6,1,0,1,1,0,0,1,0,0.18,0,0.18,0.18,0.18,Matches,Lóránd Fülöp,Botosani
ro ROU,DF,28-285,5,4,377,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Paul Iacob,Botosani
ba BIH,GK,28-321,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Luka Kukic,Botosani
fr FRA,MF,24-135,23,3,630,7,1,3,4,1,0,0,4,0,0.14,0.43,0.57,0.14,0.57,Matches,Jaly Mouaddib,Botosani
ar ARG,MF,30-021,10,3,318,3.5,0,1,1,0,0,0,2,0,0,0.28,0.28,0,0.28,Matches,Juan Cruz Kaprof,Botosani
ro ROU,MF,23-091,6,2,289,3.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Robert Filip,Botosani
ro ROU,MF,27-111,2,2,143,1.6,1,0,1,1,0,0,1,0,0.63,0,0.63,0.63,0.63,Matches,Sebastian Mailat,Botosani
ro ROU,DF,29-270,5,1,202,2.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Daniel Celea,Botosani
ro ROU,MF,22-191,5,1,201,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Stefan Panoiu,Botosani
ar ARG,MF,26-312,3,1,118,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Chapi Romano,Botosani
ro ROU,"DF,MF",33-007,4,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Romario Benzar,Botosani
ro ROU,FW,18-236,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Denis Șerban,Botosani
ro ROU,GK,17-045,0,0,,,,,,,,,,,,,,,,Matches,Alin Ciobanu,Botosani
ro ROU,DF,18-006,0,0,,,,,,,,,,,,,,,,Matches,Narcis Ilaș,Botosani
cm CMR,"MF,FW",26-291,31,29,"2,488",27.6,1,1,2,1,0,0,6,0,0.04,0.04,0.07,0.04,0.07,Matches,Christ Nkama Afalna,Unirea-Slobozia
md MDA,GK,34-243,27,27,"2,430",27,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,Denis Rusu,Unirea-Slobozia
ro ROU,DF,32-285,26,26,"2,340",26,0,1,1,0,0,0,6,0,0,0.04,0.04,0,0.04,Matches,Marius Paul Antoche,Unirea-Slobozia
ro ROU,MF,22-351,27,25,"2,156",24,2,1,3,2,0,0,2,0,0.08,0.04,0.13,0.08,0.13,Matches,Ovidiu Perianu,Unirea-Slobozia
ro ROU,MF,33-147,29,24,"1,668",18.5,2,5,7,1,1,1,3,0,0.11,0.27,0.38,0.05,0.32,Matches,Florin Purece,Unirea-Slobozia
ua UKR,DF,33-165,23,23,"2,070",23,6,1,7,4,2,2,5,0,0.26,0.04,0.3,0.17,0.22,Matches,Dmytro Pospielov,Unirea-Slobozia
ro ROU,MF,27-330,26,21,"1,795",19.9,1,0,1,1,0,0,5,0,0.05,0,0.05,0.05,0.05,Matches,Ionuţ Coadă,Unirea-Slobozia
fr FRA,FW,32-208,24,20,"1,757",19.5,5,3,8,5,0,0,4,1,0.26,0.15,0.41,0.26,0.41,Matches,Jordan Gele,Unirea-Slobozia
hr CRO,MF,37-181,27,20,"1,533",17,0,1,1,0,0,0,3,0,0,0.06,0.06,0,0.06,Matches,Adnan Aganović,Unirea-Slobozia
